Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action
f0a554c1-26e0-4220-8647-023cd8a67097,2020-09-29 22:20:08,141.136.226.234,222.56.160.84,Opera/9.76.(X11; Linux i686; ts-ZA) Presto/2.9.176 Version/11.00,Malware,Critical,False,Activity indeed trouble material friend say degree could.,Recovered
4b2e07fc-dc39-40e8-82da-6bebb85b64c3,2020-06-14 08:46:31,124.109.149.194,87.92.155.181,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/62.0.888.0 Safari/532.0",Insider Threat,High,False,Affect citizen student everybody tonight game certainly.,Contained
326ac470-47d5-4f61-ad11-dc3a1b73e2f3,2023-05-26 08:44:14,171.168.160.38,124.244.165.212,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; nan-TW) AppleWebKit/535.39.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6535.39.5",Ransomware,Medium,False,Forget several fact table gas what indeed.,Recovered
8cfa0c22-e4e9-476e-8d82-f27d19862ad4,2020-07-04 13:43:29,174.241.16.56,25.178.61.10,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/11.6s5907.0 Mobile/31X640 Safari/531.2",Phishing,Medium,False,Decide item should white few indeed.,Blocked
303c3c40-815e-4d7f-b588-e6e339f89591,2022-11-11 07:04:43,28.169.253.49,33.94.67.170,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3 rv:3.0; km-KH) AppleWebKit/533.11.1 (KHTML, like Gecko) Version/5.1 Safari/533.11.1",DDoS,Low,False,Tough message learn him above several.,Blocked
ef4afb4c-d90a-4fb2-8a37-e34aae848414,2020-09-26 04:10:34,144.132.58.48,220.227.31.59,"Mozilla/5.0 (Windows 98) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/47.0.810.0 Safari/532.2",Ransomware,High,False,Their because leader.,Recovered
1759e9b7-7839-44aa-acfb-a32c5fd2ba07,2023-02-17 17:42:24,81.135.130.62,47.207.10.219,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/3.0),DDoS,High,True,Second thus son.,Recovered
5cd259b1-1a61-4c41-bd58-566ae0f8eb84,2022-05-08 03:17:48,34.99.80.76,164.58.163.246,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/11.1a4982.0 Mobile/03D492 Safari/535.1",DDoS,Critical,False,American loss nor oil part.,Recovered
ca333834-b44d-4b86-9793-b0a0441bec5a,2021-04-08 06:13:54,100.11.99.79,57.13.200.90,Opera/9.91.(Windows NT 6.2; ku-TR) Presto/2.9.189 Version/11.00,Malware,Low,False,White last meet outside recently.,Blocked
b990f523-b60e-4562-a664-15038ae039cf,2021-02-10 03:30:36,122.41.245.80,98.171.105.168,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/14.0.837.0 Mobile/07P632 Safari/532.2",DDoS,Critical,False,Machine bed night rise character space moment.,Recovered
7e4ce9e5-e618-44e0-bfdb-6cb2630e346e,2023-10-12 15:47:52,76.61.171.42,103.161.84.109,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.1),Phishing,Medium,False,Avoid total full.,Recovered
83400a7e-b3fc-4902-86a1-df53857fb4de,2021-10-08 10:33:16,155.206.91.171,201.147.194.168,"Mozilla/5.0 (Linux; Android 2.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/23.0.855.0 Safari/532.2",Insider Threat,Medium,False,Card Republican international especially.,Blocked
bc2a85d5-e679-43fd-a972-825d992ec8a2,2022-12-13 21:16:40,4.48.56.153,71.211.187.240,Opera/9.35.(X11; Linux i686; mai-IN) Presto/2.9.187 Version/12.00,DDoS,Low,False,Myself decade wear well.,Eradicated
40cfb8de-6df7-40ac-abd5-7540b99b71ab,2023-07-22 10:06:26,158.117.101.117,92.134.112.137,Opera/8.97.(Windows 98; Win 9x 4.90; mt-MT) Presto/2.9.169 Version/10.00,Malware,Low,False,Natural newspaper high six still.,Eradicated
4db982bd-a903-4ccb-9eee-b49d80d1d5ea,2021-04-21 05:06:12,209.216.166.104,35.74.164.73,Mozilla/5.0 (Android 4.2.2; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0,Phishing,Critical,False,Minute cover reflect chair.,Contained
7965c27e-0a64-4cbe-b007-cd72fc328a5f,2020-09-11 02:29:50,19.106.148.133,102.211.10.40,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; mi-NZ) AppleWebKit/534.24.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6534.24.2",Ransomware,Medium,False,Firm big large stage seven remember.,Blocked
717d4e4f-fed1-49a3-9366-a8a33e99a1cc,2021-01-04 07:05:58,193.97.22.26,218.141.100.254,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.0),Phishing,High,False,Seven evidence reflect material worker effect person later.,Blocked
adc08559-e6a6-4b8c-aab8-0e277b9f2a6a,2023-04-01 13:55:45,169.21.110.36,13.200.215.138,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/14.0.805.0 Mobile/67N118 Safari/531.2",Malware,High,False,Argue expert goal pattern.,Contained
f45f9112-c308-40fb-94c0-e7d942aecf35,2022-06-05 12:51:09,82.44.218.233,75.155.247.147,Opera/9.10.(X11; Linux x86_64; an-ES) Presto/2.9.177 Version/12.00,Ransomware,Low,False,Time edge reveal subject I war.,Contained
df1bf3a8-a952-43ba-bb06-197b5b1171b7,2023-12-24 18:19:30,178.59.142.94,43.238.113.136,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/4.0),DDoS,High,False,Alone huge step pay lose west.,Recovered
30bfeb01-8742-4025-b7fb-8d0e4b61c2ad,2023-12-31 12:34:43,212.16.254.164,155.251.213.162,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0),Malware,Medium,False,Foot travel future pull world prove economy.,Blocked
5ee917ac-00d2-4d7b-8728-821faf473130,2022-05-08 23:41:46,163.236.235.129,110.88.56.166,Opera/8.79.(Windows CE; oc-FR) Presto/2.9.168 Version/12.00,Ransomware,Critical,False,Republican stuff manage.,Blocked
53379d43-3719-4fdd-ba91-fe077aa92073,2021-06-21 11:27:26,6.211.125.139,86.182.50.143,Mozilla/5.0 (Android 1.5; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0,Ransomware,Critical,False,Friend position everyone order explain record.,Blocked
f434fb7a-010e-4648-b8b4-0bc92cfc09a3,2023-11-16 19:57:42,131.204.232.37,38.238.219.216,Opera/8.62.(X11; Linux i686; ckb-IQ) Presto/2.9.169 Version/10.00,Malware,High,False,Important especially discover successful particularly rock fill.,Blocked
77a2b8a3-f3f7-4ea1-87f6-eb2a40d1c21e,2020-03-04 09:04:00,76.115.108.13,116.16.232.248,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.1),Ransomware,Critical,False,Reflect general spring.,Contained
0afbeca4-237d-4852-bbda-2cb3c6117a85,2020-12-03 14:25:22,125.247.64.68,195.6.246.194,Opera/9.45.(X11; Linux i686; ky-KG) Presto/2.9.183 Version/11.00,Insider Threat,Low,False,Group challenge agent gas again herself.,Eradicated
fa548aee-629d-4a30-aa43-1fa56eeddae5,2023-11-13 00:43:59,28.220.191.235,157.66.151.121,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3 rv:5.0; be-BY) AppleWebKit/532.18.6 (KHTML, like Gecko) Version/5.0 Safari/532.18.6",Phishing,Medium,False,Because play person artist gun worker.,Recovered
e77f7430-048b-414f-884c-42568955e87f,2023-02-04 03:50:35,191.176.41.198,118.0.162.80,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_7) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/45.0.804.0 Safari/536.0",Phishing,High,False,Wife reduce head onto writer price risk.,Eradicated
d13663d1-e31d-4009-841a-cdffa5aa03a1,2021-03-09 23:18:47,36.16.136.253,128.180.88.83,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/36.0.880.0 Safari/532.1",Phishing,Critical,False,System billion best week like force.,Contained
cf7fd97f-13bc-4722-8b82-710be7bccbfa,2021-02-05 21:48:10,81.179.21.66,173.230.129.154,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),Malware,Low,False,Major sister environment answer federal evening.,Eradicated
47ce068e-a029-4d89-959d-af5986965c6f,2023-04-13 22:32:56,188.125.41.179,27.3.89.99,"Mozilla/5.0 (Windows 98) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/60.0.864.0 Safari/532.1",Ransomware,High,False,Different front remember affect media spring politics.,Recovered
1d50ad71-b6b1-4044-9802-6116092cfb86,2022-04-03 12:06:19,152.170.255.135,91.98.73.210,Opera/8.10.(X11; Linux i686; uz-UZ) Presto/2.9.172 Version/10.00,Ransomware,High,False,Agency herself social would rate.,Blocked
cd78cd32-17d4-40be-a59c-ff04ae831a1f,2021-09-17 23:22:21,69.225.77.69,55.8.116.44,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.0),Insider Threat,Medium,False,Back series theory husband big.,Eradicated
4eee448d-a909-4744-8f9c-e45b1312a787,2021-09-28 17:00:52,68.222.251.185,195.12.220.252,"Mozilla/5.0 (Linux; Android 1.1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/25.0.866.0 Safari/534.2",Insider Threat,High,False,Cell home night across often discuss.,Contained
6391660b-216c-48fa-9fef-612fbedabc87,2022-05-25 05:45:54,79.221.159.196,70.91.14.248,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/29.0.877.0 Safari/535.0",Insider Threat,Critical,False,Kind can hard none form.,Contained
3d3577a5-e7e5-4ae4-863c-b1e5c6a77202,2020-02-12 00:58:49,31.179.210.66,83.69.235.208,Opera/8.38.(Windows NT 10.0; wo-SN) Presto/2.9.173 Version/12.00,Insider Threat,Critical,False,Mother data significant read move most.,Eradicated
1c217747-c4e3-4fc0-8934-805b49af4a4c,2021-05-30 15:02:51,106.185.31.247,150.47.67.125,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.49.4 (KHTML, like Gecko) Version/4.0.3 Safari/533.49.4",Phishing,Low,False,Cover example develop fear check.,Blocked
bbbc13b7-33f6-4341-bf1e-d335c0839923,2023-01-18 22:19:46,65.187.40.47,29.110.28.89,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.12.5 (KHTML, like Gecko) Version/5.0.4 Safari/533.12.5",Phishing,Medium,False,Certainly defense ten condition opportunity.,Contained
46cd5e31-155d-4607-af92-4302a66110c0,2024-01-01 01:24:05,63.237.66.14,75.40.69.131,Mozilla/5.0 (Windows NT 4.0; kl-GL; rv:1.9.0.20) Gecko/2021-05-08 08:55:19 Firefox/3.6.9,Ransomware,High,False,Probably seek give subject.,Contained
7a0e1bd8-4c74-4b13-b4c2-2f45ffc34b2b,2020-07-10 00:07:30,60.145.86.168,52.15.128.111,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/52.0.860.0 Safari/536.2",Insider Threat,Low,False,Any author arrive best everybody.,Blocked
d208da32-079b-4f7c-83fe-22ab2f01b7e8,2020-01-16 20:07:40,195.126.127.75,60.207.49.63,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0),Malware,High,False,Political return national true.,Recovered
1731b256-66a6-42e5-bdf9-e436b8a4649f,2023-02-10 19:23:17,38.13.147.61,150.251.181.116,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_7 rv:5.0; tig-ER) AppleWebKit/533.17.7 (KHTML, like Gecko) Version/5.1 Safari/533.17.7",Insider Threat,Low,False,Organization country believe get bed.,Eradicated
35edae48-fe54-4759-98a3-94ad709ef017,2023-11-28 01:11:17,163.57.236.115,74.147.230.150,Opera/8.13.(X11; Linux x86_64; ce-RU) Presto/2.9.169 Version/10.00,DDoS,High,False,Ago protect watch bad group eight left majority.,Contained
ff354932-ec42-48d5-aa41-cd3ff2d3ad37,2021-11-13 21:20:43,156.235.162.236,43.126.219.69,Opera/8.27.(X11; Linux x86_64; sl-SI) Presto/2.9.178 Version/11.00,Malware,Low,False,Card plan past see phone make cell.,Blocked
f29e036b-f958-40a7-a655-a9d0bf57316d,2023-06-02 13:13:34,132.62.64.48,220.255.60.65,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_7; rv:1.9.6.20) Gecko/2023-02-09 04:05:29 Firefox/3.8,Ransomware,Medium,False,Wall argue color idea marriage reveal.,Contained
8953f681-4782-4895-b715-7fa603ba862e,2022-07-21 08:25:53,203.243.228.198,107.207.33.157,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),Phishing,High,False,Range series up tax well street also resource.,Blocked
1c34f315-5a0b-424c-a6f5-73ef83590f12,2023-01-26 20:20:04,101.39.121.96,95.151.10.103,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1),DDoS,Medium,False,Probably story nation what front reach remain fast.,Blocked
43a7aa88-c07a-40ff-acf8-46e1de24f957,2023-09-27 23:49:56,179.248.116.15,24.77.95.90,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_4 rv:4.0; csb-PL) AppleWebKit/535.9.7 (KHTML, like Gecko) Version/5.0.2 Safari/535.9.7",Ransomware,Low,False,Film drop month return final senior his task.,Blocked
4a8e65e9-d498-4a58-828f-bd0f94ae9e21,2020-01-25 13:06:05,23.1.138.40,100.62.150.24,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/17.8t6439.0 Mobile/66N324 Safari/534.0",Insider Threat,Medium,False,Teach southern relate direction.,Contained
928ea4b1-0bab-4151-9328-8b973f02b13d,2023-10-19 10:30:03,194.124.155.11,65.117.77.62,"Mozilla/5.0 (Windows CE) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/20.0.865.0 Safari/531.1",DDoS,Low,False,Hair let couple treat sing.,Eradicated
140b6336-49fb-4190-ad24-9ec0a8f1b8f9,2021-03-10 19:14:58,12.193.218.238,57.168.25.173,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/3.0),Insider Threat,High,True,Activity employee vote draw dog ball beat newspaper.,Blocked
4a288199-905f-480b-9793-904166f97627,2021-01-12 18:29:34,183.104.20.21,23.41.117.139,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2015-01-09 22:16:40 Firefox/12.0,Malware,Critical,False,Between political image reflect education.,Eradicated
3b99c1c0-27b4-44a5-b98a-6a95da2b197f,2020-08-08 22:25:57,57.214.11.46,146.218.32.19,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/37.0.828.0 Mobile/00E037 Safari/532.2",Malware,Critical,True,Often suggest inside design mean to simple defense.,Recovered
1e5b27cf-9466-42e6-89d4-97ec3380d3d6,2020-11-16 13:35:23,156.245.43.202,46.218.22.170,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/47.0.812.0 Mobile/44J151 Safari/532.1",Phishing,Medium,False,Person onto chair writer at far attention stop.,Contained
9930ecaa-79a5-4735-aa46-5ec2abf9186a,2023-04-16 07:34:50,171.140.70.201,211.116.175.153,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_8) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/27.0.824.0 Safari/535.0",Malware,Low,False,Throughout including anyone likely.,Recovered
f6bd8e82-13a7-4109-bab9-0ea5e20422c6,2022-05-04 16:55:05,120.63.68.24,168.184.60.166,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.22.7 (KHTML, like Gecko) Version/4.1 Safari/533.22.7",DDoS,High,False,Less work think office.,Recovered
ede52135-24ec-4162-8e8e-56e01cec3385,2022-01-01 15:00:56,204.83.138.38,216.75.109.110,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/32.0.866.0 Safari/532.1",Ransomware,Critical,False,Low interest follow possible every candidate approach.,Recovered
202a1070-1c53-423e-b318-d5acf7800148,2022-02-10 05:16:29,12.210.233.25,113.102.92.215,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.10.3 (KHTML, like Gecko) Version/5.0.3 Safari/532.10.3",DDoS,Critical,False,This break personal tend owner.,Blocked
68dc835f-2890-47e3-9729-738cb66aefb2,2023-07-20 01:05:49,165.240.183.238,67.205.207.42,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/11.9g5195.0 Mobile/86Q992 Safari/535.0",Phishing,Low,False,Us sort community start.,Recovered
9839b468-d795-4b5b-a996-83a811a4d9fd,2021-11-21 12:34:27,25.228.152.18,95.191.232.201,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ps-AF) AppleWebKit/532.9.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.9.7",Insider Threat,Low,False,Girl method class.,Eradicated
35ef1f7b-b289-49b8-84d4-1ac3ec361b87,2020-09-16 06:30:01,90.92.70.135,170.107.51.204,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/47.0.867.0 Safari/532.2",DDoS,Low,False,After say office.,Contained
44ddaf06-e8dd-422d-a053-52542b58f6d1,2022-01-02 15:40:28,199.38.251.166,160.108.242.205,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/62.0.871.0 Safari/534.1",Insider Threat,Low,False,Difficult receive green yeah miss positive.,Eradicated
95122957-fb98-422c-8897-f4a4d36c4820,2020-12-26 07:25:28,64.115.92.147,82.241.95.29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_8) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/58.0.823.0 Safari/531.0",Phishing,Critical,False,Assume wear possible prove.,Blocked
b7b7ef39-97e5-4f17-951d-07ce82975aca,2020-03-05 00:12:09,135.85.125.233,50.181.16.126,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/5.0),Phishing,Medium,False,Ask meet imagine born increase simply nation education.,Blocked
461e69fd-41a0-4854-bab9-136e88f7b616,2020-09-07 03:21:11,69.229.218.103,31.152.210.148,Mozilla/5.0 (Windows 98; ks-IN; rv:1.9.2.20) Gecko/2023-04-25 04:49:47 Firefox/9.0,Ransomware,Critical,False,Address send give consider too news can.,Eradicated
ad5fc9b7-5452-43d4-accc-1ff6715cb21e,2023-07-12 06:29:34,27.161.209.132,83.79.137.159,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8 rv:4.0; ha-NG) AppleWebKit/531.21.1 (KHTML, like Gecko) Version/4.0.5 Safari/531.21.1",Insider Threat,Low,False,Resource face song bank box according with.,Blocked
9caf3f98-a74a-439d-b480-65fbb618a583,2020-12-07 02:20:29,37.203.124.143,205.150.143.64,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ak-GH) AppleWebKit/533.28.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.28.5",Malware,Critical,False,Letter eight so try.,Blocked
dd40a2bf-cb2e-44b3-aa66-702f97b6972b,2021-02-02 02:36:05,13.229.143.191,71.57.242.123,Opera/9.25.(Windows NT 6.0; ru-UA) Presto/2.9.185 Version/10.00,Phishing,Critical,False,Wall suffer official blood.,Recovered
1505a860-6d89-4746-b219-1d58871967c9,2022-11-10 12:16:32,208.42.226.154,219.68.19.7,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ro-RO) AppleWebKit/534.37.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.37.4",DDoS,High,False,Mind personal ball most leg lead.,Recovered
ba82c47f-35eb-4624-8ccf-244d97f68464,2022-03-27 22:31:34,223.10.82.73,155.95.197.88,Opera/9.99.(Windows NT 10.0; fr-FR) Presto/2.9.170 Version/12.00,Ransomware,High,False,Save bar sell various value factor.,Contained
caf4c5dd-c20c-44ea-adcd-4f61c94c55bd,2023-11-19 06:56:41,219.139.68.69,148.248.135.216,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.0),Ransomware,Critical,False,Site partner difficult when friend.,Recovered
1598766e-7fd8-4fd1-a91f-df40ca03b4ea,2022-03-26 22:10:39,166.39.79.85,134.123.155.30,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; id-ID) AppleWebKit/532.50.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6532.50.1",Insider Threat,Critical,False,Discuss area poor age attack involve.,Eradicated
3d55b37a-aaa4-4c60-9631-432cec18e4e7,2023-09-06 00:30:17,181.153.223.135,137.200.163.172,Opera/8.40.(X11; Linux x86_64; pt-BR) Presto/2.9.185 Version/11.00,Malware,Low,False,Always population parent home action check.,Recovered
ab19775c-cdc4-48d9-a7a5-0ef146d1d242,2021-05-26 07:01:30,25.170.55.207,35.9.254.90,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.0),Phishing,Low,False,Challenge while budget return glass save.,Blocked
3f3fabb5-4fda-48cb-ac6c-5eabe4048270,2021-01-08 16:36:52,140.129.215.9,41.176.49.18,Opera/8.69.(X11; Linux i686; om-ET) Presto/2.9.188 Version/11.00,DDoS,Medium,False,Bed able difficult staff.,Blocked
ec285ca0-6108-471a-84da-9eba17d3ca15,2021-11-23 01:08:53,177.152.139.83,15.149.203.179,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2018-09-30 21:47:36 Firefox/10.0,Phishing,Critical,False,Meet three student majority education government.,Blocked
1f2c7221-d44b-4b46-9e22-21577d6a1f32,2022-02-08 21:46:03,203.62.201.44,165.185.102.235,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/534.26.6 (KHTML, like Gecko) Version/4.1 Safari/534.26.6",Ransomware,Low,False,Piece finish Democrat.,Blocked
ccdc072d-0950-48ea-a5ae-68246f1e0910,2020-08-12 12:01:09,168.8.228.166,176.217.71.80,Opera/9.89.(X11; Linux x86_64; ar-BH) Presto/2.9.178 Version/10.00,DDoS,Critical,False,Son bring your serious.,Blocked
bc2c126a-aefe-4664-ac4b-3b0def7f76ac,2021-09-01 11:21:02,106.218.142.201,217.145.157.176,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2015-12-17 18:46:04 Firefox/3.8,Insider Threat,High,False,Interest through cultural create goal main total.,Recovered
a7d97be8-49ca-4db0-b0c9-7dc4d20974a1,2023-08-25 11:01:14,8.197.42.206,172.255.121.223,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; hsb-DE) AppleWebKit/533.6.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6533.6.5",Ransomware,Low,False,Out second evidence rule final.,Blocked
ad7110ac-91d4-46e3-87ce-5491d16ec58b,2024-01-05 14:12:32,83.71.176.128,31.188.170.122,Opera/8.68.(X11; Linux x86_64; kok-IN) Presto/2.9.190 Version/10.00,Phishing,High,True,Meeting nor become it necessary.,Contained
1eeeab67-94e7-44ee-8773-b0f4d77eb6d5,2023-01-16 15:12:05,194.53.164.219,184.179.44.5,Opera/8.32.(X11; Linux i686; bhb-IN) Presto/2.9.162 Version/12.00,Phishing,Critical,False,Leg dog course figure successful.,Blocked
01ab74d5-f3d8-499d-86ae-0d779a789194,2020-10-20 12:35:35,150.237.20.252,81.4.184.48,Opera/8.73.(Windows 98; hu-HU) Presto/2.9.188 Version/10.00,Ransomware,Low,False,Fear specific suffer think.,Contained
